2021-04-14 17:18:20,020 DEBUG  ROS Time: 0 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-04-14 17:18:22,023 DEBUG  ROS Time: 0 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-04-14 17:18:24,029 DEBUG  ROS Time: 0 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:18:26,037 DEBUG  ROS Time: 2 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:18:28,046 DEBUG  ROS Time: 4 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:18:30,053 DEBUG  ROS Time: 6 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:18:32,064 DEBUG  ROS Time: 8 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:18:34,076 DEBUG  ROS Time: 10 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:18:36,094 DEBUG  ROS Time: 12 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:18:38,103 DEBUG  ROS Time: 14 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:18:40,111 DEBUG  ROS Time: 16 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:18:42,123 DEBUG  ROS Time: 18 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:18:44,149 DEBUG  ROS Time: 20 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:18:46,164 DEBUG  ROS Time: 21 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:18:48,176 DEBUG  ROS Time: 23 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:18:50,184 DEBUG  ROS Time: 25 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:18:52,195 DEBUG  ROS Time: 27 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:18:54,210 DEBUG  ROS Time: 29 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:18:56,220 DEBUG  ROS Time: 31 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:18:58,250 DEBUG  ROS Time: 33 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:19:00,265 DEBUG  ROS Time: 35 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:19:02,277 DEBUG  ROS Time: 37 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:19:04,299 DEBUG  ROS Time: 39 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:19:06,307 DEBUG  ROS Time: 41 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:19:08,316 DEBUG  ROS Time: 42 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:19:10,336 DEBUG  ROS Time: 44 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:19:12,347 DEBUG  ROS Time: 46 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:19:14,357 DEBUG  ROS Time: 48 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:19:16,396 DEBUG  ROS Time: 50 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-04-14 17:19:18,427 DEBUG  ROS Time: 52 | active tasks: 0 | terminated tasks: 0 | active robots: 2
